codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000093,COJINETE 209-6181 CAT,COJINETE 209-6181 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000093.png, , , ,0,
300000000094,COJINETE 212-8960 CAT,COJINETE 212-8960 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000094.png, , , ,0,
300000000095,COJINETE 213-6083 CAT,COJINETE 213-6083 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000095.png, , , ,0,
300000000096,COJINETE 213-6687 CAT,COJINETE 213-6687 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000096.png, , , ,0,
300000000097,COJINETE 215-1906 CAT,COJINETE 215-1906 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000097.png, , , ,0,
300000000098,COJINETE 220-1012 CAT,COJINETE 220-1012 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000098.png, , , ,0,
300000000099,COJINETE 262-7044 CAT,COJINETE 262-7044 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000099.png, , , ,0,
300000000100,COJINETE 274-4274 CAT,COJINETE 274-4274 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000100.png, , , ,0,
300000000101,COJINETE 278-7695 CAT,COJINETE 278-7695 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000101.png, , , ,0,
300000000102,COJINETE 286-7166 CAT,COJINETE 286-7166 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000102.png, , , ,0,
300000000103,COJINETE 326-3362 CAT,COJINETE 326-3362 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000103.png, , , ,0,
300000000104,COJINETE 9R-0139 CAT,COJINETE 9R-0139 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000104.png, , , ,0,
300000000105,COJINETE 9R-0162 CAT,COJINETE 9R-0162 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000105.png, , , ,0,
300000000106,COJINETE 9R-0170 CAT,COJINETE 9R-0170 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000106.png, , , ,0,
300000000107,COJINETE 9R-4110 CAT,COJINETE 9R-4110 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000107.png, , , ,0,
300000000108,COJINETE 9T-2883 CAT,COJINETE 9T-2883 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000108.png, , , ,0,
300000000109,COJINETE MFC 50 1G32122  SEMB  CIVEMA,COJINETE MFC 50 1G32122  SEMB  CIVEMA,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000109.png, , , ,0,
300000000110,COJINETE SUSPEN M2 106 4X2 FREIGHT,COJINETE SUSPEN M2 106 4X2 FREIGHT,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000110.png, , ,,0,
300000000111,CONECTORES TIPO DIN mPm 10/250-180,CONECTORES TIPO DIN mPm 10/250-180,UN,G-7 / Materiales Electricos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000111.png, , , ,0,
300000000112,CONJUNTO CONTROL 1G140692 SEMB CIVEMA,CONJUNTO CONTROL 1G140692 SEMB CIVEMA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000112.png, , , ,0,
300000000113,CONJUNTO DE BRAZO SURCADOR,CONJUNTO DE BRAZO SURCADOR,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000113.png, , , ,0,
300000000114,CONJUNTO DE ESTERA  3177678  SEMB CIVEMA,CONJUNTO DE ESTERA  3177678  SEMB CIVEMA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000114.png, , , ,0,
300000000115,CONJUNTOS DE SEM FIM SERMAG (REF 002146),CONJUNTOS DE SEM FIM SERMAG (REF 002146),UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000115.png, , , ,0,
300000000116,CONO COJINETE 10353 JD,CONO COJINETE 10353 JD,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000116.png, , ,C101A06*,1,
300000000117,CONO COJINETE 9043 JD,CONO COJINETE 9043 JD,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000117.png, , ,C101D14*,0,
300000000118,CORONA DELANTERA 5191770 CNH,CORONA DELANTERA 5191770 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000118.png, , , ,0,
300000000119,CORREA  VENTILADOR R252371 JD,CORREA  VENTILADOR R252371 JD,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000119.png, , ,C1T16*,3,
